Distribution,Ordenation,Array Length,Time,Mean Time
Random,Insertion Sort,600,36.5625,24.84375
Random,Shell Sort,600,1.875,1.21875
Random,Quick Sort,600,1.875,1.734375
Random,Quick Sort 2,600,0.9375,1.546875
Random,Quick Sort 3,600,0.9375,1.6875
Random,Counting Sort,600,0.0,0.234375
Random,Selection Sort,650,84.375,69.09375
Random,Insertion Sort,650,30.9375,32.71875
Random,Shell Sort,650,1.875,1.96875
Random,Quick Sort,650,1.875,1.453125
Random,Quick Sort 2,650,0.0,1.078125
Random,Quick Sort 3,650,1.875,1.734375
Random,Counting Sort,650,0.0,0.46875
Random,Selection Sort,700,87.1875,82.6875
Random,Insertion Sort,700,37.5,37.96875
Random,Shell Sort,700,2.8125,2.625
Random,Quick Sort,700,1.875,1.921875
Random,Quick Sort 2,700,1.875,1.5
Random,Quick Sort 3,700,2.8125,1.734375
Random,Counting Sort,700,0.9375,0.421875
Random,Selection Sort,750,97.5,96.75
Random,Insertion Sort,750,44.0625,44.4375
Random,Shell Sort,750,2.8125,2.578125
Random,Quick Sort,750,5.625,2.625
Random,Quick Sort 2,750,1.875,1.921875
Random,Quick Sort 3,750,0.9375,1.828125
